job_title,count
sales manager,336
project manager,154
receptionist,142
assistant store manager,132
registered nurse - rn - ltac,122
senior accountant,110
administrative assistant,106
executive assistant,97
salesperson,96
customer service representative,94
account executive,93
staff accountant,78
package handler - part time (warehouse like),75
controller,73
associate attorney,71
registered nurse,70
senior software engineer,69
us experienced financial advisor,69
store manager,68
sales associate,65
